,startx,endx,starty,endy,naive,vectorized,multiprocessing
166,54,116,128,58,1.300636574,1.300636574,1.300636574
167,46,112,119,56,1.452685422,1.452685422,1.452685422
168,47,117,125,58,1.476680851,1.476680851,1.476680851
169,52,119,127,59,1.376514234,1.376514234,1.376514234
170,49,119,123,59,1.454123113,1.454123113,1.454123113
171,56,124,131,62,1.343784079,1.343784079,1.343784079
172,52,124,127,62,1.43640218,1.43640218,1.43640218
173,45,124,119,62,1.638281979,1.638281979,1.638281979
174,56,125,125,62,1.364071429,1.364071429,1.364071429
175,43,122,121,61,1.670670767,1.670670767,1.670670767
176,54,121,127,61,1.360527851,1.360527851,1.360527851
177,48,119,124,59,1.477486559,1.477486559,1.477486559
178,45,120,123,60,1.577235772,1.577235772,1.577235772
179,45,118,119,59,1.559010271,1.559010271,1.559010271
180,53,124,131,62,1.406452542,1.406452542,1.406452542
181,52,120,130,60,1.384615385,1.384615385,1.384615385
182,58,124,132,62,1.303814002,1.303814002,1.303814002
183,55,122,129,61,1.345525018,1.345525018,1.345525018
184,48,121,124,60,1.502352151,1.502352151,1.502352151
185,51,120,126,60,1.414565826,1.414565826,1.414565826
186,46,122,120,61,1.580253623,1.580253623,1.580253623
187,43,124,117,62,1.70681773,1.70681773,1.70681773
188,50,120,121,60,1.447933884,1.447933884,1.447933884
189,54,123,126,61,1.380952381,1.380952381,1.380952381
190,44,119,117,59,1.604409479,1.604409479,1.604409479
191,46,120,118,60,1.558585114,1.558585114,1.558585114
192,43,117,119,59,1.608364276,1.608364276,1.608364276
193,51,120,122,60,1.422372228,1.422372228,1.422372228
194,44,125,122,62,1.674552906,1.674552906,1.674552906
195,52,124,125,62,1.440307692,1.440307692,1.440307692
196,49,119,123,59,1.454123113,1.454123113,1.454123113
197,44,121,124,60,1.616935484,1.616935484,1.616935484
198,45,116,121,58,1.52855831,1.52855831,1.52855831
199,43,115,118,58,1.582972014,1.582972014,1.582972014
200,43,118,121,59,1.615894676,1.615894676,1.615894676
201,44,117,117,59,1.581682207,1.581682207,1.581682207
202,48,118,119,59,1.477065826,1.477065826,1.477065826
203,46,118,121,59,1.526410349,1.526410349,1.526410349
204,50,120,123,60,1.443902439,1.443902439,1.443902439
205,49,118,122,59,1.445884911,1.445884911,1.445884911
206,45,121,119,61,1.600746965,1.600746965,1.600746965
207,44,121,120,60,1.625,1.625,1.625
208,42,118,118,59,1.654761905,1.654761905,1.654761905
209,51,108,124,54,1.276565465,1.276565465,1.276565465
210,47,113,125,57,1.43012766,1.43012766,1.43012766
211,51,112,125,56,1.322039216,1.322039216,1.322039216
212,39,112,121,56,1.667302395,1.667302395,1.667302395
213,41,115,118,57,1.643964448,1.643964448,1.643964448
214,42,111,118,55,1.554479419,1.554479419,1.554479419
215,38,116,120,58,1.767982456,1.767982456,1.767982456
216,46,111,118,56,1.443809875,1.443809875,1.443809875
217,50,112,126,56,1.342222222,1.342222222,1.342222222
218,47,117,121,58,1.484350273,1.484350273,1.484350273
219,43,116,123,58,1.584609567,1.584609567,1.584609567
220,40,117,117,59,1.714636752,1.714636752,1.714636752
221,42,114,115,57,1.604968944,1.604968944,1.604968944
222,38,116,115,58,1.778489703,1.778489703,1.778489703
223,40,112,121,56,1.631404959,1.631404959,1.631404959
224,45,122,118,61,1.614030132,1.614030132,1.614030132
225,46,121,116,60,1.573838081,1.573838081,1.573838081
226,52,119,122,59,1.386034048,1.386034048,1.386034048
227,47,113,111,57,1.458884416,1.458884416,1.458884416
228,51,112,122,56,1.327547412,1.327547412,1.327547412
229,49,115,118,58,1.4192321,1.4192321,1.4192321
230,49,116,116,58,1.433673469,1.433673469,1.433673469
231,47,114,112,57,1.467230243,1.467230243,1.467230243
232,39,124,109,62,1.874147259,1.874147259,1.874147259
233,47,119,119,60,1.518058287,1.518058287,1.518058287
234,46,112,115,56,1.460869565,1.460869565,1.460869565
235,43,119,114,59,1.64249286,1.64249286,1.64249286
236,50,114,117,57,1.383589744,1.383589744,1.383589744
237,47,112,120,56,1.424822695,1.424822695,1.424822695
238,46,114,119,57,1.478626233,1.478626233,1.478626233
239,42,107,118,54,1.502623083,1.502623083,1.502623083
240,51,115,121,57,1.36298817,1.36298817,1.36298817
